Status: HighsModelStatus.kOptimal
I_1_5_3_1_3 -0.0
I_1_5_3_2_0 0.0
I_1_5_3_2_1 0.0
I_1_5_3_2_2 -0.0
I_1_5_3_2_3 -0.0
I_1_5_3_3_0 0.0
I_1_5_3_3_1 0.0
I_1_5_3_3_2 -0.0
I_1_5_3_3_3 -0.0
I_1_5_3_4_0 0.0
I_1_5_3_4_1 0.0
I_1_5_3_4_2 0.0
I_1_5_3_4_3 -0.0
I_1_5_3_5_0 0.0
I_1_5_3_5_1 0.0
I_1_5_3_5_2 -0.0
I_1_5_3_5_3 -0.0
I_1_5_3_6_0 0.0
I_1_5_3_6_1 0.0
I_1_5_3_6_2 -0.0
I_1_5_3_6_3 -0.0
I_1_5_3_7_0 0.0
I_1_5_3_7_1 0.0
I_1_5_3_7_2 -0.0
I_1_5_3_7_3 -0.0
I_1_5_3_8_0 0.0
I_1_5_3_8_1 0.0
I_1_5_3_8_2 -0.0
I_1_5_3_8_3 -0.0
I_1_5_3_9_0 0.0
I_1_5_3_9_1 0.0
I_1_5_3_9_2 -0.0
I_1_5_3_9_3 -0.0
I_1_5_4_0_0 0.0
I_1_5_4_0_1 1.0
I_1_5_4_0_2 -0.0
I_1_5_4_0_3 -0.0
I_1_5_4_1_0 0.0
I_1_5_4_1_1 0.0
I_1_5_4_1_2 -0.0
I_1_5_4_1_3 -0.0
I_1_5_4_2_0 0.0
I_1_5_4_2_1 0.0
I_1_5_4_2_2 -0.0
I_1_5_4_2_3 -0.0
I_1_5_4_3_0 0.0
I_1_5_4_3_1 0.0
I_1_5_4_3_2 -0.0
I_1_5_4_3_3 -0.0
I_1_5_4_4_0 0.0
I_1_5_4_4_1 0.0
I_1_5_4_4_2 -0.0
I_1_5_4_4_3 -0.0
I_1_5_4_5_0 0.0
I_1_5_4_5_1 0.0
I_1_5_4_5_2 -0.0
I_1_5_4_5_3 -0.0
I_1_5_4_6_0 0.0
I_1_5_4_6_1 0.0
I_1_5_4_6_2 -0.0
I_1_5_4_6_3 -0.0
I_1_5_4_7_0 0.0
I_1_5_4_7_1 0.0
I_1_5_4_7_2 -0.0
I_1_5_4_7_3 -0.0
I_1_5_4_8_0 0.0
I_1_5_4_8_1 0.0
I_1_5_4_8_2 -0.0
I_1_5_4_8_3 -0.0
I_1_5_4_9_0 0.0
I_1_5_4_9_1 0.0
I_1_5_4_9_2 -0.0
I_1_5_4_9_3 -0.0
I_1_5_5_0_0 0.0
I_1_5_5_0_1 1.0
I_1_5_5_0_2 -0.0
I_1_5_5_0_3 -0.0
I_1_5_5_1_0 0.0
I_1_5_5_1_1 0.0
I_1_5_5_1_2 -0.0
I_1_5_5_1_3 -0.0
I_1_5_5_2_0 0.0
I_1_5_5_2_1 0.0
I_1_5_5_2_2 -0.0
I_1_5_5_2_3 -0.0
I_1_5_5_3_0 0.0
I_1_5_5_3_1 0.0
I_1_5_5_3_2 -0.0
I_1_5_5_3_3 -0.0
I_1_5_5_4_0 0.0
I_1_5_5_4_1 0.0
I_1_5_5_4_2 -0.0
I_1_5_5_4_3 -0.0
I_1_5_5_5_0 0.0
I_1_5_5_5_1 0.0
I_1_5_5_5_2 -0.0
I_1_5_5_5_3 -0.0
I_1_5_5_6_0 0.0
I_1_5_5_6_1 0.0
I_1_5_5_6_2 0.0
I_1_5_5_6_3 0.0
I_1_5_5_7_0 0.0
I_1_5_5_7_1 0.0
I_1_5_5_7_2 0.0
I_1_5_5_7_3 0.0
I_1_5_5_8_0 0.0
I_1_5_5_8_1 0.0
I_1_5_5_8_2 0.0
I_1_5_5_8_3 0.0
I_1_5_5_9_0 0.0
I_1_5_5_9_1 0.0
I_1_5_5_9_2 0.0
I_1_5_5_9_3 0.0
I_1_5_6_0_0 0.0
I_1_5_6_0_1 1.0
I_1_5_6_0_2 -0.0
I_1_5_6_0_3 -0.0
I_1_5_6_1_0 0.0
I_1_5_6_1_1 0.0
I_1_5_6_1_2 -0.0
I_1_5_6_1_3 -0.0
I_1_5_6_2_0 0.0
I_1_5_6_2_1 0.0
I_1_5_6_2_2 -0.0
I_1_5_6_2_3 -0.0
I_1_5_6_3_0 0.0
I_1_5_6_3_1 0.0
I_1_5_6_3_2 -0.0
I_1_5_6_3_3 -0.0
I_1_5_6_4_0 0.0
I_1_5_6_4_1 0.0
I_1_5_6_4_2 -0.0
I_1_5_6_4_3 -0.0
I_1_5_6_5_0 0.0
I_1_5_6_5_1 0.0
I_1_5_6_5_2 -0.0
I_1_5_6_5_3 -0.0
I_1_5_6_6_0 0.0
I_1_5_6_6_1 0.0
I_1_5_6_6_2 0.0
I_1_5_6_6_3 0.0
I_1_5_6_7_0 0.0
I_1_5_6_7_1 0.0
I_1_5_6_7_2 0.0
I_1_5_6_7_3 0.0
I_1_5_6_8_0 0.0
I_1_5_6_8_1 0.0
I_1_5_6_8_2 0.0
I_1_5_6_8_3 0.0
I_1_5_6_9_0 0.0
I_1_5_6_9_1 0.0
I_1_5_6_9_2 0.0
I_1_5_6_9_3 0.0
I_1_5_7_0_0 0.0
I_1_5_7_0_1 1.0
I_1_5_7_0_2 -0.0
I_1_5_7_0_3 -0.0
I_1_5_7_1_0 0.0
I_1_5_7_1_1 0.0
I_1_5_7_1_2 -0.0
I_1_5_7_1_3 -0.0
I_1_5_7_2_0 0.0
I_1_5_7_2_1 0.0
I_1_5_7_2_2 -0.0
I_1_5_7_2_3 -0.0
I_1_5_7_3_0 0.0
I_1_5_7_3_1 0.0
I_1_5_7_3_2 -0.0
I_1_5_7_3_3 -0.0
I_1_5_7_4_0 0.0
I_1_5_7_4_1 0.0
I_1_5_7_4_2 -0.0
I_1_5_7_4_3 -0.0
I_1_5_7_5_0 0.0
I_1_5_7_5_1 0.0
I_1_5_7_5_2 -0.0
I_1_5_7_5_3 -0.0
I_1_5_7_6_0 0.0
I_1_5_7_6_1 0.0
I_1_5_7_6_2 0.0
I_1_5_7_6_3 0.0
I_1_5_7_7_0 0.0
I_1_5_7_7_1 0.0
I_1_5_7_7_2 0.0
I_1_5_7_7_3 0.0
I_1_5_7_8_0 0.0
I_1_5_7_8_1 0.0
I_1_5_7_8_2 0.0
I_1_5_7_8_3 0.0
I_1_5_7_9_0 0.0
I_1_5_7_9_1 0.0
I_1_5_7_9_2 0.0
I_1_5_7_9_3 0.0
I_1_5_8_0_0 0.0
I_1_5_8_0_1 1.0
I_1_5_8_0_2 -0.0
I_1_5_8_0_3 -0.0
I_1_5_8_1_0 0.0
I_1_5_8_1_1 0.0
I_1_5_8_1_2 -0.0
I_1_5_8_1_3 -0.0
I_1_5_8_2_0 0.0
I_1_5_8_2_1 0.0
I_1_5_8_2_2 -0.0
I_1_5_8_2_3 -0.0
I_1_5_8_3_0 0.0
I_1_5_8_3_1 0.0
I_1_5_8_3_2 -0.0
I_1_5_8_3_3 -0.0
I_1_5_8_4_0 0.0
I_1_5_8_4_1 0.0
I_1_5_8_4_2 -0.0
I_1_5_8_4_3 -0.0
I_1_5_8_5_0 0.0
I_1_5_8_5_1 0.0
I_1_5_8_5_2 -0.0
I_1_5_8_5_3 -0.0
I_1_5_8_6_0 0.0
I_1_5_8_6_1 0.0
I_1_5_8_6_2 0.0
I_1_5_8_6_3 0.0
I_1_5_8_7_0 0.0
I_1_5_8_7_1 0.0
I_1_5_8_7_2 0.0
I_1_5_8_7_3 0.0
I_1_5_8_8_0 0.0
I_1_5_8_8_1 0.0
I_1_5_8_8_2 0.0
I_1_5_8_8_3 0.0
I_1_5_8_9_0 0.0
I_1_5_8_9_1 0.0
I_1_5_8_9_2 0.0
I_1_5_8_9_3 0.0
I_1_5_9_0_0 0.0
I_1_5_9_0_1 1.0
I_1_5_9_0_2 -0.0
I_1_5_9_0_3 -0.0
I_1_5_9_1_0 0.0
I_1_5_9_1_1 0.0
I_1_5_9_1_2 -0.0
I_1_5_9_1_3 -0.0
I_1_5_9_2_0 0.0
I_1_5_9_2_1 0.0
I_1_5_9_2_2 -0.0
I_1_5_9_2_3 -0.0
I_1_5_9_3_0 0.0
I_1_5_9_3_1 0.0
I_1_5_9_3_2 -0.0
I_1_5_9_3_3 -0.0
I_1_5_9_4_0 0.0
I_1_5_9_4_1 0.0
I_1_5_9_4_2 -0.0
I_1_5_9_4_3 -0.0
I_1_5_9_5_0 0.0
I_1_5_9_5_1 0.0
I_1_5_9_5_2 -0.0
I_1_5_9_5_3 -0.0
I_1_5_9_6_0 0.0
I_1_5_9_6_1 0.0
I_1_5_9_6_2 0.0
I_1_5_9_6_3 0.0
I_1_5_9_7_0 0.0
I_1_5_9_7_1 0.0
I_1_5_9_7_2 0.0
I_1_5_9_7_3 0.0
I_1_5_9_8_0 0.0
I_1_5_9_8_1 0.0
I_1_5_9_8_2 0.0
I_1_5_9_8_3 0.0
I_1_5_9_9_0 0.0
I_1_5_9_9_1 0.0
I_1_5_9_9_2 0.0
I_1_5_9_9_3 0.0
I_2_0_0_0_0 -0.0
I_2_0_0_0_1 -0.0
I_2_0_0_0_2 -0.0
I_2_0_0_0_3 -0.0
I_2_0_0_1_0 1.0
I_2_0_0_1_1 -0.0
I_2_0_0_1_2 1.0
I_2_0_0_1_3 -0.0
I_2_0_0_2_0 1.0
I_2_0_0_2_1 -0.0
I_2_0_0_2_2 -0.0
I_2_0_0_2_3 -0.0
I_2_0_0_3_0 1.0
I_2_0_0_3_1 -0.0
I_2_0_0_3_2 -0.0
I_2_0_0_3_3 -0.0
I_2_0_0_4_0 1.0
I_2_0_0_4_1 -0.0
I_2_0_0_4_2 -0.0
I_2_0_0_4_3 -0.0
I_2_0_0_5_0 1.0
I_2_0_0_5_1 -0.0
I_2_0_0_5_2 -0.0
I_2_0_0_5_3 -0.0
I_2_0_0_6_0 1.0
I_2_0_0_6_1 -0.0
I_2_0_0_6_2 -0.0
I_2_0_0_6_3 -0.0
I_2_0_0_7_0 1.0
I_2_0_0_7_1 -0.0
I_2_0_0_7_2 -0.0
I_2_0_0_7_3 -0.0
I_2_0_0_8_0 1.0
I_2_0_0_8_1 -0.0
I_2_0_0_8_2 -0.0
I_2_0_0_8_3 -0.0
I_2_0_0_9_0 1.0
I_2_0_0_9_1 -0.0
I_2_0_0_9_2 -0.0
I_2_0_0_9_3 -0.0
I_2_0_1_0_0 1.0
I_2_0_1_0_1 -0.0
I_2_0_1_0_2 -0.0
I_2_0_1_0_3 1.0
I_2_0_1_1_0 -0.0
I_2_0_1_1_1 -0.0
I_2_0_1_1_2 -0.0
I_2_0_1_1_3 1.0
I_2_0_1_2_0 -0.0
I_2_0_1_2_1 -0.0
I_2_0_1_2_2 -0.0
I_2_0_1_2_3 1.0
I_2_0_1_3_0 -0.0
I_2_0_1_3_1 -0.0
I_2_0_1_3_2 -0.0
I_2_0_1_3_3 1.0
I_2_0_1_4_0 -0.0
I_2_0_1_4_1 -0.0
I_2_0_1_4_2 -0.0
I_2_0_1_4_3 1.0
I_2_0_1_5_0 -0.0
I_2_0_1_5_1 -0.0
I_2_0_1_5_2 -0.0
I_2_0_1_5_3 1.0
I_2_0_1_6_0 -0.0
I_2_0_1_6_1 -0.0
I_2_0_1_6_2 -0.0
I_2_0_1_6_3 1.0
I_2_0_1_7_0 -0.0
I_2_0_1_7_1 -0.0
I_2_0_1_7_2 -0.0
I_2_0_1_7_3 1.0
I_2_0_1_8_0 -0.0
I_2_0_1_8_1 -0.0
I_2_0_1_8_2 -0.0
I_2_0_1_8_3 1.0
I_2_0_1_9_0 -0.0
I_2_0_1_9_1 -0.0
I_2_0_1_9_2 -0.0
I_2_0_1_9_3 1.0
I_2_0_2_0_0 1.0
I_2_0_2_0_1 -0.0
I_2_0_2_0_2 -0.0
I_2_0_2_0_3 -0.0
I_2_0_2_1_0 -0.0
I_2_0_2_1_1 -0.0
I_2_0_2_1_2 -0.0
I_2_0_2_1_3 -0.0
I_2_0_2_2_0 -0.0
I_2_0_2_2_1 -0.0
I_2_0_2_2_2 -0.0
I_2_0_2_2_3 -0.0
I_2_0_2_3_0 -0.0
I_2_0_2_3_1 -0.0
I_2_0_2_3_2 -0.0
I_2_0_2_3_3 -0.0
I_2_0_2_4_0 -0.0
I_2_0_2_4_1 -0.0
I_2_0_2_4_2 -0.0
I_2_0_2_4_3 -0.0
I_2_0_2_5_0 -0.0
I_2_0_2_5_1 -0.0
I_2_0_2_5_2 -0.0
I_2_0_2_5_3 -0.0
I_2_0_2_6_0 -0.0
I_2_0_2_6_1 -0.0
I_2_0_2_6_2 -0.0
I_2_0_2_6_3 -0.0
I_2_0_2_7_0 -0.0
I_2_0_2_7_1 -0.0
I_2_0_2_7_2 -0.0
I_2_0_2_7_3 -0.0
I_2_0_2_8_0 -0.0
I_2_0_2_8_1 -0.0
I_2_0_2_8_2 -0.0
I_2_0_2_8_3 -0.0
I_2_0_2_9_0 -0.0
I_2_0_2_9_1 -0.0
I_2_0_2_9_2 -0.0
I_2_0_2_9_3 -0.0
I_2_0_3_0_0 1.0
I_2_0_3_0_1 -0.0
I_2_0_3_0_2 -0.0
I_2_0_3_0_3 -0.0
I_2_0_3_1_0 -0.0
I_2_0_3_1_1 -0.0
I_2_0_3_1_2 -0.0
I_2_0_3_1_3 -0.0
I_2_0_3_2_0 -0.0
I_2_0_3_2_1 -0.0
I_2_0_3_2_2 -0.0
I_2_0_3_2_3 -0.0
I_2_0_3_3_0 -0.0
I_2_0_3_3_1 -0.0
I_2_0_3_3_2 -0.0
I_2_0_3_3_3 -0.0
I_2_0_3_4_0 -0.0
I_2_0_3_4_1 -0.0
I_2_0_3_4_2 -0.0
I_2_0_3_4_3 -0.0
I_2_0_3_5_0 -0.0
I_2_0_3_5_1 -0.0
I_2_0_3_5_2 -0.0
I_2_0_3_5_3 -0.0
I_2_0_3_6_0 -0.0
I_2_0_3_6_1 -0.0
I_2_0_3_6_2 -0.0
I_2_0_3_6_3 -0.0
I_2_0_3_7_0 -0.0
I_2_0_3_7_1 -0.0
I_2_0_3_7_2 -0.0
I_2_0_3_7_3 -0.0
I_2_0_3_8_0 -0.0
I_2_0_3_8_1 -0.0
I_2_0_3_8_2 -0.0
I_2_0_3_8_3 -0.0
I_2_0_3_9_0 -0.0
I_2_0_3_9_1 -0.0
I_2_0_3_9_2 -0.0
I_2_0_3_9_3 -0.0
I_2_0_4_0_0 1.0
I_2_0_4_0_1 -0.0
I_2_0_4_0_2 -0.0
I_2_0_4_0_3 -0.0
I_2_0_4_1_0 -0.0
I_2_0_4_1_1 -0.0
I_2_0_4_1_2 -0.0
I_2_0_4_1_3 -0.0
I_2_0_4_2_0 -0.0
I_2_0_4_2_1 -0.0
I_2_0_4_2_2 -0.0
I_2_0_4_2_3 -0.0
I_2_0_4_3_0 -0.0
I_2_0_4_3_1 -0.0
I_2_0_4_3_2 -0.0
I_2_0_4_3_3 -0.0
I_2_0_4_4_0 -0.0
I_2_0_4_4_1 -0.0
I_2_0_4_4_2 -0.0
I_2_0_4_4_3 -0.0
I_2_0_4_5_0 -0.0
I_2_0_4_5_1 -0.0
I_2_0_4_5_2 -0.0
I_2_0_4_5_3 -0.0
I_2_0_4_6_0 -0.0
I_2_0_4_6_1 -0.0
I_2_0_4_6_2 -0.0
I_2_0_4_6_3 -0.0
I_2_0_4_7_0 -0.0
I_2_0_4_7_1 -0.0
I_2_0_4_7_2 -0.0
I_2_0_4_7_3 -0.0
I_2_0_4_8_0 -0.0
I_2_0_4_8_1 -0.0
I_2_0_4_8_2 -0.0
I_2_0_4_8_3 -0.0
I_2_0_4_9_0 -0.0
I_2_0_4_9_1 -0.0
I_2_0_4_9_2 -0.0
I_2_0_4_9_3 -0.0
I_2_0_5_0_0 1.0
I_2_0_5_0_1 -0.0
I_2_0_5_0_2 -0.0
I_2_0_5_0_3 -0.0
I_2_0_5_1_0 -0.0
I_2_0_5_1_1 -0.0
I_2_0_5_1_2 -0.0
I_2_0_5_1_3 -0.0
I_2_0_5_2_0 -0.0
I_2_0_5_2_1 -0.0
I_2_0_5_2_2 -0.0
I_2_0_5_2_3 -0.0
I_2_0_5_3_0 -0.0
I_2_0_5_3_1 -0.0
I_2_0_5_3_2 -0.0
I_2_0_5_3_3 -0.0
I_2_0_5_4_0 -0.0
I_2_0_5_4_1 -0.0
I_2_0_5_4_2 -0.0
I_2_0_5_4_3 -0.0
I_2_0_5_5_0 -0.0
I_2_0_5_5_1 -0.0
I_2_0_5_5_2 -0.0
I_2_0_5_5_3 -0.0
I_2_0_5_6_0 -0.0
I_2_0_5_6_1 -0.0
I_2_0_5_6_2 -0.0
I_2_0_5_6_3 -0.0
I_2_0_5_7_0 -0.0
I_2_0_5_7_1 -0.0
I_2_0_5_7_2 -0.0
I_2_0_5_7_3 -0.0
I_2_0_5_8_0 -0.0
I_2_0_5_8_1 -0.0
I_2_0_5_8_2 -0.0
I_2_0_5_8_3 -0.0
I_2_0_5_9_0 -0.0
I_2_0_5_9_1 -0.0
I_2_0_5_9_2 -0.0
I_2_0_5_9_3 -0.0
I_2_0_6_0_0 1.0
I_2_0_6_0_1 -0.0
I_2_0_6_0_2 -0.0
I_2_0_6_0_3 -0.0
I_2_0_6_1_0 -0.0
I_2_0_6_1_1 -0.0
I_2_0_6_1_2 -0.0
I_2_0_6_1_3 -0.0
I_2_0_6_2_0 -0.0
I_2_0_6_2_1 -0.0
I_2_0_6_2_2 -0.0
I_2_0_6_2_3 -0.0
I_2_0_6_3_0 -0.0
I_2_0_6_3_1 -0.0
I_2_0_6_3_2 -0.0
I_2_0_6_3_3 -0.0
I_2_0_6_4_0 -0.0
I_2_0_6_4_1 -0.0
I_2_0_6_4_2 -0.0
I_2_0_6_4_3 -0.0
I_2_0_6_5_0 -0.0
I_2_0_6_5_1 -0.0
I_2_0_6_5_2 -0.0
I_2_0_6_5_3 -0.0
I_2_0_6_6_0 -0.0
I_2_0_6_6_1 -0.0
I_2_0_6_6_2 -0.0
I_2_0_6_6_3 -0.0
I_2_0_6_7_0 -0.0
I_2_0_6_7_1 -0.0
I_2_0_6_7_2 -0.0
I_2_0_6_7_3 -0.0
I_2_0_6_8_0 -0.0
I_2_0_6_8_1 -0.0
I_2_0_6_8_2 -0.0
I_2_0_6_8_3 -0.0
I_2_0_6_9_0 -0.0
I_2_0_6_9_1 -0.0
I_2_0_6_9_2 -0.0
I_2_0_6_9_3 -0.0
I_2_0_7_0_0 1.0
I_2_0_7_0_1 -0.0
I_2_0_7_0_2 -0.0
I_2_0_7_0_3 -0.0
I_2_0_7_1_0 -0.0
I_2_0_7_1_1 -0.0
I_2_0_7_1_2 -0.0
I_2_0_7_1_3 -0.0
I_2_0_7_2_0 -0.0
I_2_0_7_2_1 -0.0
I_2_0_7_2_2 -0.0
I_2_0_7_2_3 -0.0
I_2_0_7_3_0 -0.0
I_2_0_7_3_1 -0.0
I_2_0_7_3_2 -0.0
I_2_0_7_3_3 -0.0
I_2_0_7_4_0 -0.0
I_2_0_7_4_1 -0.0
I_2_0_7_4_2 -0.0
I_2_0_7_4_3 -0.0
I_2_0_7_5_0 -0.0
I_2_0_7_5_1 -0.0
I_2_0_7_5_2 -0.0
I_2_0_7_5_3 -0.0
I_2_0_7_6_0 -0.0
I_2_0_7_6_1 -0.0
I_2_0_7_6_2 -0.0
I_2_0_7_6_3 -0.0
I_2_0_7_7_0 -0.0
I_2_0_7_7_1 -0.0
I_2_0_7_7_2 -0.0
I_2_0_7_7_3 -0.0
I_2_0_7_8_0 -0.0
I_2_0_7_8_1 -0.0
I_2_0_7_8_2 -0.0
I_2_0_7_8_3 -0.0
I_2_0_7_9_0 -0.0
I_2_0_7_9_1 -0.0
I_2_0_7_9_2 -0.0
I_2_0_7_9_3 -0.0
I_2_0_8_0_0 1.0
I_2_0_8_0_1 -0.0
I_2_0_8_0_2 -0.0
I_2_0_8_0_3 -0.0
I_2_0_8_1_0 -0.0
I_2_0_8_1_1 -0.0
I_2_0_8_1_2 -0.0
I_2_0_8_1_3 -0.0
I_2_0_8_2_0 -0.0
I_2_0_8_2_1 -0.0
I_2_0_8_2_2 -0.0
I_2_0_8_2_3 -0.0
I_2_0_8_3_0 -0.0
I_2_0_8_3_1 -0.0
I_2_0_8_3_2 -0.0
I_2_0_8_3_3 -0.0
I_2_0_8_4_0 -0.0
I_2_0_8_4_1 -0.0
I_2_0_8_4_2 -0.0
I_2_0_8_4_3 -0.0
I_2_0_8_5_0 -0.0
I_2_0_8_5_1 -0.0
I_2_0_8_5_2 -0.0
I_2_0_8_5_3 -0.0
I_2_0_8_6_0 -0.0
I_2_0_8_6_1 -0.0
I_2_0_8_6_2 -0.0
I_2_0_8_6_3 -0.0
I_2_0_8_7_0 -0.0
I_2_0_8_7_1 -0.0
I_2_0_8_7_2 -0.0
I_2_0_8_7_3 -0.0
I_2_0_8_8_0 -0.0
I_2_0_8_8_1 -0.0
I_2_0_8_8_2 -0.0
I_2_0_8_8_3 -0.0
I_2_0_8_9_0 -0.0
I_2_0_8_9_1 -0.0
I_2_0_8_9_2 -0.0
I_2_0_8_9_3 -0.0
I_2_0_9_0_0 1.0
I_2_0_9_0_1 -0.0
I_2_0_9_0_2 -0.0
I_2_0_9_0_3 -0.0
I_2_0_9_1_0 -0.0
I_2_0_9_1_1 -0.0
I_2_0_9_1_2 -0.0
I_2_0_9_1_3 -0.0
I_2_0_9_2_0 -0.0
I_2_0_9_2_1 -0.0
I_2_0_9_2_2 -0.0
I_2_0_9_2_3 -0.0
I_2_0_9_3_0 -0.0
I_2_0_9_3_1 -0.0
I_2_0_9_3_2 -0.0
I_2_0_9_3_3 -0.0
I_2_0_9_4_0 -0.0
I_2_0_9_4_1 -0.0
I_2_0_9_4_2 -0.0
I_2_0_9_4_3 -0.0
I_2_0_9_5_0 -0.0
I_2_0_9_5_1 -0.0
I_2_0_9_5_2 -0.0
I_2_0_9_5_3 -0.0
I_2_0_9_6_0 -0.0
I_2_0_9_6_1 -0.0
I_2_0_9_6_2 -0.0
I_2_0_9_6_3 -0.0
I_2_0_9_7_0 -0.0
I_2_0_9_7_1 -0.0
I_2_0_9_7_2 -0.0
I_2_0_9_7_3 -0.0
I_2_0_9_8_0 -0.0
I_2_0_9_8_1 -0.0
I_2_0_9_8_2 -0.0
I_2_0_9_8_3 -0.0
I_2_0_9_9_0 -0.0
I_2_0_9_9_1 -0.0
I_2_0_9_9_2 -0.0
I_2_0_9_9_3 -0.0
I_2_1_0_0_0 1.0
I_2_1_0_0_1 1.0
I_2_1_0_0_2 -0.0
I_2_1_0_0_3 -0.0
I_2_1_0_1_0 1.0
I_2_1_0_1_1 -0.0
I_2_1_0_1_2 -0.0
I_2_1_0_1_3 -0.0
I_2_1_0_2_0 1.0
I_2_1_0_2_1 -0.0
I_2_1_0_2_2 -0.0
I_2_1_0_2_3 -0.0
I_2_1_0_3_0 1.0
I_2_1_0_3_1 -0.0
I_2_1_0_3_2 -0.0
I_2_1_0_3_3 -0.0
I_2_1_0_4_0 1.0
I_2_1_0_4_1 -0.0
I_2_1_0_4_2 -0.0
I_2_1_0_4_3 -0.0
I_2_1_0_5_0 1.0
I_2_1_0_5_1 -0.0
I_2_1_0_5_2 -0.0
I_2_1_0_5_3 -0.0
I_2_1_0_6_0 1.0
I_2_1_0_6_1 -0.0
I_2_1_0_6_2 -0.0
I_2_1_0_6_3 -0.0
I_2_1_0_7_0 1.0
I_2_1_0_7_1 -0.0
I_2_1_0_7_2 -0.0
I_2_1_0_7_3 -0.0
I_2_1_0_8_0 1.0
I_2_1_0_8_1 -0.0
I_2_1_0_8_2 -0.0
I_2_1_0_8_3 -0.0
I_2_1_0_9_0 1.0
I_2_1_0_9_1 -0.0
I_2_1_0_9_2 -0.0
I_2_1_0_9_3 -0.0
I_2_1_1_0_0 -0.0
I_2_1_1_0_1 1.0
I_2_1_1_0_2 -0.0
I_2_1_1_0_3 1.0
I_2_1_1_1_0 -0.0
I_2_1_1_1_1 -0.0
I_2_1_1_1_2 -0.0
I_2_1_1_1_3 1.0
I_2_1_1_2_0 -0.0
I_2_1_1_2_1 -0.0
I_2_1_1_2_2 -0.0
I_2_1_1_2_3 1.0
I_2_1_1_3_0 -0.0
I_2_1_1_3_1 -0.0
I_2_1_1_3_2 -0.0
I_2_1_1_3_3 1.0
I_2_1_1_4_0 -0.0
I_2_1_1_4_1 -0.0
I_2_1_1_4_2 -0.0
I_2_1_1_4_3 1.0
I_2_1_1_5_0 -0.0
I_2_1_1_5_1 -0.0
I_2_1_1_5_2 -0.0
I_2_1_1_5_3 1.0
I_2_1_1_6_0 -0.0
I_2_1_1_6_1 -0.0
I_2_1_1_6_2 -0.0
I_2_1_1_6_3 1.0
I_2_1_1_7_0 -0.0
I_2_1_1_7_1 -0.0
I_2_1_1_7_2 -0.0
I_2_1_1_7_3 1.0
I_2_1_1_8_0 -0.0
I_2_1_1_8_1 -0.0
I_2_1_1_8_2 -0.0
I_2_1_1_8_3 1.0
I_2_1_1_9_0 -0.0
I_2_1_1_9_1 -0.0
I_2_1_1_9_2 -0.0
I_2_1_1_9_3 1.0
I_2_1_2_0_0 -0.0
I_2_1_2_0_1 1.0
I_2_1_2_0_2 -0.0
I_2_1_2_0_3 -0.0
I_2_1_2_1_0 -0.0
I_2_1_2_1_1 -0.0
I_2_1_2_1_2 -0.0
I_2_1_2_1_3 -0.0
I_2_1_2_2_0 -0.0
I_2_1_2_2_1 -0.0
I_2_1_2_2_2 -0.0
I_2_1_2_2_3 -0.0
I_2_1_2_3_0 -0.0
I_2_1_2_3_1 -0.0
I_2_1_2_3_2 -0.0
I_2_1_2_3_3 -0.0
I_2_1_2_4_0 -0.0
I_2_1_2_4_1 -0.0
I_2_1_2_4_2 -0.0
I_2_1_2_4_3 -0.0
I_2_1_2_5_0 -0.0
I_2_1_2_5_1 -0.0
I_2_1_2_5_2 -0.0
I_2_1_2_5_3 -0.0
I_2_1_2_6_0 -0.0
I_2_1_2_6_1 -0.0
I_2_1_2_6_2 -0.0
I_2_1_2_6_3 -0.0
I_2_1_2_7_0 -0.0
I_2_1_2_7_1 -0.0
I_2_1_2_7_2 -0.0
I_2_1_2_7_3 -0.0
I_2_1_2_8_0 -0.0
I_2_1_2_8_1 -0.0
I_2_1_2_8_2 -0.0
I_2_1_2_8_3 -0.0
I_2_1_2_9_0 -0.0
I_2_1_2_9_1 -0.0
I_2_1_2_9_2 -0.0
I_2_1_2_9_3 -0.0
I_2_1_3_0_0 -0.0
I_2_1_3_0_1 1.0
I_2_1_3_0_2 -0.0
I_2_1_3_0_3 -0.0
I_2_1_3_1_0 -0.0
I_2_1_3_1_1 -0.0
I_2_1_3_1_2 -0.0
I_2_1_3_1_3 -0.0
I_2_1_3_2_0 -0.0
I_2_1_3_2_1 -0.0
I_2_1_3_2_2 -0.0
I_2_1_3_2_3 -0.0
I_2_1_3_3_0 -0.0
I_2_1_3_3_1 -0.0
I_2_1_3_3_2 -0.0
I_2_1_3_3_3 -0.0
I_2_1_3_4_0 -0.0
I_2_1_3_4_1 -0.0
I_2_1_3_4_2 -0.0
I_2_1_3_4_3 -0.0
I_2_1_3_5_0 -0.0
I_2_1_3_5_1 -0.0
I_2_1_3_5_2 -0.0
I_2_1_3_5_3 -0.0
I_2_1_3_6_0 -0.0
I_2_1_3_6_1 -0.0
I_2_1_3_6_2 -0.0
I_2_1_3_6_3 -0.0
I_2_1_3_7_0 -0.0
I_2_1_3_7_1 -0.0
I_2_1_3_7_2 -0.0
I_2_1_3_7_3 -0.0
I_2_1_3_8_0 -0.0
I_2_1_3_8_1 -0.0
I_2_1_3_8_2 -0.0
I_2_1_3_8_3 -0.0
I_2_1_3_9_0 -0.0
I_2_1_3_9_1 -0.0
I_2_1_3_9_2 -0.0
I_2_1_3_9_3 -0.0
I_2_1_4_0_0 -0.0
I_2_1_4_0_1 1.0
I_2_1_4_0_2 -0.0
